date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:44:01	68151/68151	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/dark.html	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/dark.html	(from )
00:44:01	177/177	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20May%202020%2017:17:22%20GMT	https://coderthemes.com/robots.txt		(from )
00:44:02	106024/106024	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/images/favicon.ico	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/images/favicon.ico	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:02	206289/206289	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/css/bootstrap-dark.min.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/css/bootstrap-dark.min.css	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:07	322449/322449	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/css/icons.min.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/css/icons.min.css	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:10	2396/2396	---M--	200	added ('OK')	image/jpeg	etag:%225ebd3c57-95c%22	https://coderthemes.com/adminto/layouts/horizontal/assets/images/users/user-1.jpg	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/images/users/user-1.jpg	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:11	4730/4730	---M--	200	added ('OK')	image/jpeg	etag:%225ebd3c57-127a%22	https://coderthemes.com/adminto/layouts/horizontal/assets/images/users/user-4.jpg	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/images/users/user-4.jpg	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:11	68187/68187	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/index.html	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/index.html	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:11	103249/103249	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/css/app-dark.min.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/css/app-dark.min.css	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:11	11392/11392	---M--	200	added ('OK')	image/png	etag:%225ebd3c57-2c80%22	https://coderthemes.com/adminto/layouts/horizontal/assets/images/logo-light.png	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/images/logo-light.png	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:11	2249/2249	---M--	200	added ('OK')	image/png	etag:%225ebd3c57-8c9%22	https://coderthemes.com/adminto/layouts/horizontal/assets/images/logo-sm.png	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/images/logo-sm.png	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:12	11346/11346	---M--	200	added ('OK')	image/png	etag:%225ebd3c57-2c52%22	https://coderthemes.com/adminto/layouts/horizontal/assets/images/logo-dark.png	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/images/logo-dark.png	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:12	69600/69600	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/ui-buttons.html	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/ui-buttons.html	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:12	74748/74748	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/ui-cards.html	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/ui-cards.html	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:12	43323/43323	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/ui-draggable-cards.html	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/ui-draggable-cards.html	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:12	68173/68173	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/ui-checkbox-radio.html	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/ui-checkbox-radio.html	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
00:44:13	42610/42610	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/ui-material-icons.html	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/ui-material-icons.html	(from https://coderthemes.com/adminto/layouts/horizontal/dark.html)
